OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.480392,0.429412,0.209463,0.507843,0.481712,0.413725,0.558824,0.396662,0.437255,0.531373,0.554902,0.559347,0.445098,0.566667,0.609804
0.472549,0.409804,0.195569,0.488235,0.472796,0.358824,0.55098,0.384334,0.42549,0.523529,0.535294,0.55361,0.452941,0.562745,0.598039
0.464706,0.386275,0.182918,0.484314,0.466264,0.323529,0.554902,0.372454,0.417647,0.515686,0.527451,0.538581,0.460784,0.547059,0.594118
0.582353,0.637255,0.346638,0.637255,0.582257,0.547059,0.57451,0.524994,0.55098,0.621569,0.676471,0.682861,0.370588,0.688235,0.672549
0.456863,0.358824,0.171002,0.476471,0.459203,0.339216,0.55098,0.360444,0.409804,0.507843,0.511765,0.530334,0.468627,0.539216,0.582353
0.817647,0.84902,0.763694,0.852941,0.818971,0.845098,0.590196,0.811955,0.813725,0.641176,0.837255,0.837255,0.715686,0.837255,0.852941
0.786275,0.821569,0.724063,0.82549,0.789483,0.82549,0.531373,0.7806,0.782353,0.609804,0.813725,0.813186,0.668627,0.813725,0.829412
0.758824,0.794118,0.690149,0.801961,0.762035,0.794118,0.476471,0.751149,0.75098,0.637255,0.786275,0.786275,0.62549,0.786275,0.809804
0.731373,0.766667,0.653174,0.778431,0.734853,0.766667,0.429412,0.722046,0.727451,0.629412,0.766667,0.764941,0.590196,0.766667,0.790196
0.707843,0.743137,0.622049,0.754902,0.709308,0.727451,0.386275,0.694541,0.7,0.62549,0.723529,0.723529,0.562745,0.723529,0.770588
0.656863,0.692157,0.563728,0.715686,0.666307,0.833333,0.511765,0.645882,0.652941,0.601961,0.692157,0.691589,0.770588,0.688235,0.731373
0.641176,0.672549,0.536999,0.692157,0.642724,0.813725,0.507843,0.622175,0.629412,0.605882,0.668627,0.668059,0.754902,0.664706,0.715686
0.617647,0.645098,0.512735,0.668627,0.62564,0.809804,0.527451,0.599512,0.609804,0.590196,0.645098,0.644537,0.452941,0.641176,0.7
0.605882,0.62549,0.490154,0.652941,0.61003,0.786275,0.515686,0.579889,0.586275,0.566667,0.62549,0.624922,0.719608,0.621569,0.680392
0.586275,0.598039,0.465692,0.641176,0.590985,0.786275,0.492157,0.558863,0.570588,0.562745,0.605882,0.605027,0.401961,0.598039,0.668627
0.570588,0.578431,0.446469,0.62549,0.575235,0.77451,0.488235,0.541181,0.55098,0.547059,0.586275,0.585419,0.684314,0.578431,0.652941
0.558824,0.558824,0.426295,0.601961,0.560554,0.739216,0.476471,0.52466,0.535294,0.531373,0.566667,0.565811,0.358824,0.558824,0.637255
0.535294,0.535294,0.407336,0.590196,0.544412,0.739216,0.476471,0.506899,0.519608,0.523529,0.547059,0.546221,0.652941,0.543137,0.62549
0.527451,0.519608,0.391431,0.578431,0.528711,0.731373,0.472549,0.489694,0.5,0.515686,0.535294,0.534417,0.327451,0.527451,0.609804
0.684314,0.719608,0.591488,0.735294,0.687769,0.833333,0.527451,0.669497,0.672549,0.609804,0.715686,0.715118,0.790196,0.711765,0.747059
0.515686,0.503922,0.372571,0.562745,0.516189,0.711765,0.464706,0.475325,0.488235,0.507843,0.515686,0.514838,0.315686,0.511765,0.601961
0.707843,0.786275,0.58025,0.762745,0.709432,0.766667,0.452941,0.693617,0.696078,0.562745,0.696078,0.701989,0.511765,0.707843,0.711765
0.668627,0.747059,0.525271,0.727451,0.669744,0.723529,0.492157,0.649775,0.656863,0.55098,0.660784,0.665894,0.464706,0.672549,0.672549
0.633333,0.711765,0.477893,0.696078,0.634297,0.7,0.488235,0.610144,0.617647,0.527451,0.621569,0.626979,0.42549,0.633333,0.641176
0.601961,0.680392,0.435064,0.664706,0.602768,0.672549,0.476471,0.57454,0.582353,0.507843,0.586275,0.588186,0.394118,0.594118,0.609804
