Valoare pixel,Clasa pixel,Average threshold,Midrange threshold,White threshold,Bernsen threshold,Niblack threshold,Sauvola threshold,Wolf threshold,Phansalkar threshold,Nick threshold,Gaussian threshold
0.815686,0,0.800105,0.018293,0.400052,0.5,0.797651,0.409829,0.400052,0.605522,0.640421,0.804079
0.792157,0,0.702156,0.291434,0.351078,0.291434,0.667037,0.47389,0.351078,0.589517,0.55742,0.72279
0.898039,0,0.831303,0.276532,0.415652,0.276532,0.796315,0.560514,0.415652,0.696601,0.661486,0.789479
0.898039,0,0.828645,0.287628,0.414323,0.287628,0.794761,0.554165,0.414323,0.692097,0.659531,0.865519
0.929412,0,0.881255,0.277347,0.440627,0.277347,0.850189,0.576977,0.440627,0.729646,0.702367,0.899778
0.290196,1,0.698173,0.308281,0.349086,0.308281,0.655507,0.497446,0.349086,0.599397,0.552291,0.650568
0.788235,0,0.791386,0.02692,0.395693,0.5,0.789174,0.404411,0.395693,0.598494,0.633243,0.792705
0.372549,1,0.759507,0.304206,0.379753,0.304206,0.717946,0.536967,0.379753,0.649309,0.602076,0.716495
0.823529,0,0.82087,0.313887,0.410435,0.313887,0.804491,0.477395,0.410435,0.649711,0.655904,0.828841
0.886275,0,0.871984,0.328912,0.435992,0.328912,0.843645,0.559067,0.435992,0.716052,0.695495,0.867761
0.870588,0,0.894431,0.296901,0.447216,0.296901,0.877091,0.524462,0.447216,0.709832,0.715103,0.892707
0.92549,0,0.897619,0.277232,0.448809,0.277232,0.867946,0.581464,0.448809,0.740029,0.715752,0.90112
